variable	gender	stage	m	sd	m_control	sd_control	t	df	p	d	BF10	BF01
dsr_avg	all	milk	2.44	0.6149564444506851	2.12	0.5267798021944273	1.032455453178129	48.847609780236084	0.3069436632945506	0.2552200259027794	0.384	2.6041666666666665
dsr_avg	all	weaned	2.08	0.5732803390605181	2.12	0.5267798021944273	-0.8855743244352989	110.6759514084482	0.3777669923698218	0.1611820534573515	0.28	3.571428571428571
dsr_avg	Man	milk	1.84	0.3976256058769098	1.8	0.5038831460289885	0.6433101397972102	14.74906369161759	0.5298987602712828	0.28336964520172137	0.473	2.1141649048625792
dsr_avg	Man	weaned	1.96	0.6846346863398116	1.8	0.5038831460289885	-0.6641664010375579	29.71141606423123	0.5117055821389375	0.22620737707701305	0.403	2.4813895781637716
dsr_avg	Woman	milk	2.6	0.6553266828265806	2.16	0.5129977495226852	0.839313743626365	33.76178370862964	0.40719723903047034	0.24604737335235602	0.368	2.717391304347826
dsr_avg	Woman	weaned	2.16	0.49411142230750765	2.16	0.5129977495226852	-0.5693797676709242	75.80387628320454	0.5707818438293109	0.12377796303883422	0.26	3.846153846153846
pdds_avg	all	milk	1.8076923076923077	0.6744379600893021	2.1153846153846154	0.8071045480477048	-1.8444557871414005	64.34665670117101	0.06972063001866122	0.4147358454487408	1.033	0.9680542110358181
pdds_avg	all	weaned	1.6153846153846154	0.6856950336161424	2.1153846153846154	0.8071045480477048	-3.2543958942099205	94.19113113765121	0.0015789214228389315	0.6183865279171383	20.562	0.04863340142009532
pdds_avg	Man	milk	1.8461538461538463	0.808868844816613	1.8461538461538463	0.8683923355348502	-0.05708892830684021	12.785170052073799	0.9553569232692751	0.026477746898441405	0.411	2.4330900243309004
pdds_avg	Man	weaned	1.3076923076923077	0.6774575113636239	1.8461538461538463	0.8683923355348502	-0.9241690466546814	21.36798079390225	0.36571777382544035	0.34956555706944414	0.471	2.1231422505307855
pdds_avg	Woman	milk	1.7692307692307692	0.6193184920090837	2.3076923076923075	0.7341733202496461	-2.3068136007117968	47.37650801040772	0.025483666259099855	0.6028923482199244	2.37	0.42194092827004215
pdds_avg	Woman	weaned	1.7692307692307692	0.6744797182841823	2.3076923076923075	0.7341733202496461	-3.304570383831888	73.50370803428115	0.0014721784197515805	0.7238499395769529	22.736	0.04398311048557354
